Phylum,Planet Name,Biome
Angiospermae,11 Com b,Desert
Echinodermata,11 UMi b,Alpine
Pteridophyta,14 And b,Tundra
Nematoda,14 Her b,Boreal
Chordata,16 Cyg B b,Temperate
Bryophyta,17 Sco b,Boreal
Bryophyta,18 Del b,Swamp
Cnidaria,1RXS J160929.1-210524 b,Alpine
Annelida,24 Boo b,Boreal
Cnidaria,24 Sex b,Desert
Porifera,24 Sex c,Tundra
Arthropoda,2M0437 b,Tundra
Pteridophyta,2MASS J01033563-5515561 AB b,Tropical
Echinodermata,2MASS J01225093-2439505 b,Desert
Porifera,2MASS J02192210-3925225 b,Desert
Angiospermae,2MASS J0249-0557 c,Marshland
Platyhelminthes,2MASS J03590986+2009361 b,Swamp
Arthropoda,2MASS J04414489+2301513 b,Boreal
Pteridophyta,2MASS J11011926-7732383 b,Boreal
Platyhelminthes,2MASS J11550485-7919108 b,Swamp
Cnidaria,2MASS J12073346-3932539 b,Alpine
Mollusca,2MASS J19383260+4603591 b,Boreal
Pteridophyta,2MASS J21252752-8138278 b,Swamp
Chordata,2MASS J22362452+4751425 b,Swamp
Chordata,30 Ari B b,Scarlet
Chordata,4 UMa b,Tropical
Chordata,42 Dra b,Scarlet
Bryophyta,47 UMa b,Tundra
Porifera,47 UMa c,Nemoral
Bryophyta,47 UMa d,Tundra
Annelida,51 Eri b,Swamp
Chordata,51 Peg b,Boreal
Platyhelminthes,55 Cnc b,Scarlet
Platyhelminthes,55 Cnc c,Nemoral
Mollusca,55 Cnc d,Boreal
Arthropoda,55 Cnc e,Desert
Arthropoda,55 Cnc f,Tropical
Platyhelminthes,6 Lyn b,Tundra
Chordata,61 Vir b,Swamp
Pteridophyta,61 Vir c,Tropical
Pteridophyta,61 Vir d,Desert
Mollusca,7 CMa b,Scarlet
Chordata,7 CMa c,Tropical
Annelida,70 Vir b,Tundra
Arthropoda,75 Cet b,Boreal
Pteridophyta,75 Cet c,Desert
Annelida,8 UMi b,Tropical
Pteridophyta,81 Cet b,Tropical
Angiospermae,91 Aqr b,Scarlet
Cnidaria,AB Aur b,Boreal
Platyhelminthes,AB Pic b,Tundra
Pteridophyta,AF Lep b,Tropical
Nematoda,AU Mic b,Marshland
Porifera,AU Mic c,Swamp
Pteridophyta,AU Mic d,Swamp
Bryophyta,BD+03 2562 b,Alpine
Bryophyta,BD+14 4559 b,Desert
Annelida,BD+15 2375 b,Scarlet
Bryophyta,BD+15 2940 b,Boreal
Annelida,BD+20 2457 b,Boreal
Annelida,BD+20 2457 c,Swamp
Arthropoda,BD+20 274 b,Desert
Angiospermae,BD+20 594 b,Desert
Pteridophyta,BD+45 564 b,Marshland
Nematoda,BD+48 738 b,Tundra
Bryophyta,BD+48 740 b,Scarlet
Platyhelminthes,BD+49 828 b,Desert
Bryophyta,BD+55 362 b,Scarlet
Pteridophyta,BD+60 1417 b,Scarlet
Nematoda,BD+63 1405 b,Swamp
Nematoda,BD-06 1339 b,Tropical
Pteridophyta,BD-06 1339 c,Alpine
Pteridophyta,BD-08 2823 b,Desert
Angiospermae,BD-08 2823 c,Temperate
Mollusca,BD-10 3166 b,Scarlet
Cnidaria,BD-11 4672 b,Scarlet
Annelida,BD-11 4672 c,Tundra
Porifera,BD-13 2130 b,Tundra
Bryophyta,BD-14 3065 b,Swamp
Annelida,BD-17 63 b,Alpine
Mollusca,BD-210397 b,Tropical
Pteridophyta,BD-210397 c,Temperate
Pteridophyta,Barnard b,Alpine
Mollusca,CD Cet b,Nemoral
Porifera,CFBDSIR J145829+101343 b,Alpine
Annelida,CFHTWIR-Oph 98 b,Alpine
Porifera,CHXR 73 b,Temperate
Chordata,CI Tau c,Tundra
Arthropoda,COCONUTS-2 b,Tropical
Porifera,CT Cha b,Scarlet
Annelida,CoRoT-1 b,Desert
Platyhelminthes,CoRoT-10 b,Marshland
Pteridophyta,CoRoT-11 b,Temperate
Platyhelminthes,CoRoT-12 b,Alpine
Cnidaria,CoRoT-13 b,Tundra
Cnidaria,CoRoT-14 b,Temperate
Arthropoda,CoRoT-16 b,Scarlet
Platyhelminthes,CoRoT-17 b,Boreal
Porifera,CoRoT-18 b,Swamp
Platyhelminthes,CoRoT-19 b,Tropical
Annelida,CoRoT-2 b,Tundra
Bryophyta,CoRoT-20 b,Marshland
Bryophyta,CoRoT-20 c,Tundra
Arthropoda,CoRoT-21 b,Tundra
Annelida,CoRoT-22 b,Nemoral
Cnidaria,CoRoT-23 b,Boreal
Porifera,CoRoT-24 b,Boreal
Mollusca,CoRoT-24 c,Tundra
Platyhelminthes,CoRoT-25 b,Tropical
Bryophyta,CoRoT-26 b,Tropical
Arthropoda,CoRoT-27 b,Marshland
Echinodermata,CoRoT-28 b,Alpine
Bryophyta,CoRoT-29 b,Scarlet
Bryophyta,CoRoT-3 b,Scarlet
Echinodermata,CoRoT-30 b,Tundra
Nematoda,CoRoT-31 b,Nemoral
Cnidaria,CoRoT-35 b,Nemoral
Pteridophyta,CoRoT-36 b,Alpine
Mollusca,CoRoT-4 b,Nemoral
Nematoda,CoRoT-5 b,Tropical
Cnidaria,CoRoT-6 b,Marshland
Mollusca,CoRoT-7 b,Tundra
Annelida,CoRoT-7 c,Alpine
Platyhelminthes,CoRoT-7 d,Marshland
Nematoda,CoRoT-8 b,Scarlet
Mollusca,CoRoT-9 b,Nemoral
Nematoda,CoRoTID 223977153 b,Marshland
Nematoda,DE CVn b,Scarlet
Arthropoda,DENIS-P J082303.1-491201 b,Tropical
Echinodermata,DH Tau b,Tundra
Angiospermae,DMPP-1 b,Swamp
Bryophyta,DMPP-1 c,Tundra
Mollusca,DMPP-1 d,Temperate
Mollusca,DMPP-1 e,Temperate
Annelida,DMPP-2 b,Tundra
Chordata,DMPP-3 A b,Swamp
Echinodermata,DMPP-4 b,Temperate
Cnidaria,DP Leo b,Boreal
Cnidaria,DS Tuc A b,Nemoral
Angiospermae,EPIC 201170410.02,Scarlet
Bryophyta,EPIC 201238110 b,Tropical
Bryophyta,EPIC 201427007 b,Tropical
Arthropoda,EPIC 201497682 b,Alpine
Arthropoda,EPIC 201595106 b,Boreal
Bryophyta,EPIC 201615463 c,Desert
Pteridophyta,EPIC 201754305 d,Alpine
Pteridophyta,EPIC 201757695.02,Alpine
Echinodermata,EPIC 201833600 c,Desert
Nematoda,EPIC 201841433 b,Desert
Mollusca,EPIC 205950854 c,Swamp
Arthropoda,EPIC 206024342 b,Desert
