Lunar Name,"Radius
(number of Earth Moons)",Tidal Lock,Core Composition,Number of days to orbit,Discovery Year
Lunalith,9.8,0,Helium3,423,2069
Seleneva,13.1,0,Helium3,790,2069
Nylora,2.9,0,Helium3,392,2069
Miravon,5.3,0,Helium3,562,2069
Thaliora,24.9,0,Helium3,75,2069
Crescentis,21.4,0,Helium3,270,2069
Eclipsa,6.1,0,Helium3,51,2069
Lumisera,21.6,0,Helium3,338,2069
Noctara,20.1,0,Helium3,228,2069
Vespera,18.9,1,Ice,847,2069
Cylaris,13.5,1,Ice,859,2069
Astrena,15.8,0,Silicon,637,2069
Serenis,10.0,0,Silicon,753,2069
Galadora,20.0,0,Silicon,700,2069
Stellara,17.7,0,Silicon,514,2069
Lunaria,17.8,0,Silicon,206,2069
Phobon,20.0,1,Iron,416,2069
Arctura,0.4,1,Iron,997,2069
Aethra,24.5,1,Iron,442,2069
