Planet Name,Planet Radius [Earth Radius],Duration of a day (hours),Planetary Type,Gravity Strength,Has Biosphere,Discovery Year,Star Name,ObjectType
HD 100546 b,77.342,116.59,Chthonian Planet,Low,1,2014,HD 100546,P
GQ Lup b,33.6,50.64,Proto Planet,Low,1,2004,GQ Lup,P
DH Tau b,30.264,65.81,Chthonian Planet,Low,1,2004,DH Tau,P
CT Cha b,24.66,64.54,Proto Planet,Low,1,2007,CT Cha,P
HAT-P-67 b,23.371,77.87,Gas Giant,High,0,2017,HAT-P-67,P
HAT-P-41 b,22.978,119.94,Proto Planet,Low,1,2012,HAT-P-41,P
KOI-4978 b,22.754,103.76,Garden World,Medium,1,2020,KOI-4978,P
HAT-P-32 b,22.194,60.34,Ice Giant,High,0,2011,HAT-P-32,P
BD-14 3065 b,21.59,102.85,Dwarf Planet,Low,1,2024,BD-14 3065,P
NGTS-14 A b,21.409,26.82,Dwarf Planet,Low,1,2017,NGTS-14,P
NGTS-27 b,21.196,70.26,Ice Giant,High,0,2017,NGTS-27,P
HAT-P-70 b,20.961,23.15,Ice Giant,High,0,2019,HAT-P-70,P
CFHTWIR-Oph 98 b,20.849,31.67,Proto Planet,Low,1,2021,CFHTWIR-Oph 98,P
HATS-23 b,20.849,17.57,Dwarf Planet,Low,1,2017,HATS-23,P
HAT-P-33 b,20.737,82.35,Dwarf Planet,Low,1,2011,HAT-P-33,P
GSC 06214-00210 b,20.176,69.63,Dwarf Planet,Low,1,2010,GSC 06214-00210,P
NGC 2682 YBP 401 b,19.952,17.86,Dwarf Planet,Low,1,2017,NGC 2682 YBP 401,P
WASP-117 b,19.661,47.52,Garden World,Medium,1,2011,WASP-117,P
HATS-26 b,19.616,66.19,Chthonian Planet,Low,1,2016,HATS-26,P
NGTS-1 b,19.537,101.41,Proto Planet,Low,1,2016,NGTS-1,P
NGTS-16 b,19.515,103.56,Dwarf Planet,Low,1,2017,NGTS-16,P
