Host Name,Number of Stars,Number of Planets,Radius (Thousands of Astronomical Units),Host (Galaxy),,,,,,,,,,,
11 Com,2,1,297.21,Fireworks Galaxy,,,,,,,,,,,
11 UMi,1,1,137.018,Barnard's Galaxy,,,,,,,,,,,
14 And,1,1,238.6,Butterfly Galaxies,,,,,,,,,,,
14 Her,1,2,149.802,Blinking Galaxy,,,,,,,,,,,
16 Cyg B,3,1,8.835,Black Eye Galaxy,,,,,,,,,,,
17 Sco,1,1,156.449,Andromeda Galaxy,,,,,,,,,,,
18 Del,2,1,157.952,Bear Paw Galaxy,,,,,,,,,,,
1RXS J160929.1-210524,1,1,149.301,Helix Galaxy,,,,,,,,,,,
24 Boo,1,1,135.129,Meathook Galaxy,,,,,,,,,,,
24 Sex,1,2,295.917,Lindsay-Shapley Ring,,,,,,,,,,,
2MASS J04372171+2651014,1,1,152.462,Porphyrion,,,,,,,,,,,
2MASS J01033563-5515561 A,2,1,166.934,Cigar Galaxy,,,,,,,,,,,
2MASS J01225093-2439505,1,1,1.758,Grasshopper,,,,,,,,,,,
2MASS J02192210-3925225,1,1,137.577,Condor Galaxy,,,,,,,,,,,
2MASS J0249-0557 A,2,1,160.388,Southern Pinwheel Galaxy,,,,,,,,,,,
2MASS J03590986+2009361,1,1,281.487,Triangulum Galaxy,,,,,,,,,,,
2MASS J04414489+2301513,1,1,105.928,Mayall's Object,,,,,,,,,,,
2MASS J11011926-7732383,1,1,146.781,Cigar Galaxy,,,,,,,,,,,
2MASS J11550485-7919108,1,1,201.526,Hidden Galaxy,,,,,,,,,,,
2MASS J12073346-3932539,1,1,152.011,Butterfly Galaxies,,,,,,,,,,,
2MASS J19383260+4603591,2,3,224.78,Coma Pinwheel Galaxy,,,,,,,,,,,
2MASS J21252752-8138278,1,1,22.783,Coma Pinwheel Galaxy,,,,,,,,,,,
2MASS J22362452+4751425,1,1,81.95,Hoag's Object,,,,,,,,,,,
30 Ari B,4,1,107.155,Andromeda Galaxy,,,,,,,,,,,
4 UMa,1,1,57.298,Fireworks Galaxy,,,,,,,,,,,
42 Dra,2,1,80.488,Alcyoneus,,,,,,,,,,,
