Star Name,Spectral Type,Stellar Radius [Solar Radius],Element Composition,Host Name,ObjectType
11 Com,G8 III,13.76,Hydrogen,11 Com,S
11 UMi,K4 III,29.79,Xenon,11 UMi,S
14 And,K0 III,11.55,Hydrogen,14 And,S
14 Her,K0 V,0.93,Hydrogen,14 Her,S
16 Cyg,G3 V,1.13,Hydrogen,16 Cyg B,S
17 Sco,K3 III,25.92,Hydrogen,17 Sco,S
18 Del,G6 III,8.8,Hydrogen,18 Del,S
1RXS J160929.1-210524,K7 V,1.31,Hydrogen,1RXS J160929.1-210524,S
24 Boo,G3 IV,12.19,Hydrogen,24 Boo,S
24 Sex,K0 IV,4.9,Hydrogen,24 Sex,S
2MASS J04372171+2651014,M V,0.84,Hydrogen,2MASS J04372171+2651014,S
2MASS J01033563-5515561,M5.5/M6,,Hydrogen,2MASS J01033563-5515561 A,S
2MASS J01225093-2439505,M3.5 V,0.37,Hydrogen,2MASS J01225093-2439505,S
2MASS J02192210-3925225,M6,0.28,Hydrogen,2MASS J02192210-3925225,S
2MASS J0249-0557,M6 V,0.32,Hydrogen,2MASS J0249-0557 A,S
2MASS J03590986+2009361,,0.29,Hydrogen,2MASS J03590986+2009361,S
2MASS J04414489+2301513,M8.5,0.23,Hydrogen,2MASS J04414489+2301513,S
2MASS J11011926-7732383,,,Hydrogen,2MASS J11011926-7732383,S
2MASS J11550485-7919108,,0.6,Hydrogen,2MASS J11550485-7919108,S
2MASS J12073346-3932539,M8,0.22,Hydrogen,2MASS J12073346-3932539,S
2MASS J19383260+4603591,,0.2,Hydrogen,2MASS J19383260+4603591,S
2MASS J21252752-8138278,,0.67,Hydrogen,2MASS J21252752-8138278,S
2MASS J22362452+4751425,K7 V,0.64,Hydrogen,2MASS J22362452+4751425,S
30 Ari,F6 V,1.41,Hydrogen,30 Ari B,S
4 UMa,K1 III,18.11,Hydrogen,4 UMa,S
42 Dra,K1.5 III,22.03,Hydrogen,42 Dra,S
47 UMa,G0 V,1.21,Hydrogen,47 UMa,S
51 Eri,F0 IV,1.49,Hydrogen,51 Eri,S
51 Peg,G5V,1.18,Hydrogen,51 Peg,S
55 Cnc,K0 IV-V,0.94,Hydrogen,55 Cnc,S
6 Lyn,K0 IV,4.94,Hydrogen,6 Lyn,S
61 Vir,G5 V,0.96,Hydrogen,61 Vir,S
7 CMa,K1 III,4.87,Hydrogen,7 CMa,S
70 Vir,G5V,1.89,Hydrogen,70 Vir,S
75 Cet,G3 III,10.38,Hydrogen,75 Cet,S
8 UMi,K0,10.3,Hydrogen,8 UMi,S
81 Cet,G5 III,11.21,Hydrogen,81 Cet,S
91 Aqr,K0 III,11,Hydrogen,91 Aqr,S
AB Aur,,2.96,Hydrogen,AB Aur,S
AB Pic,K2 V,1,Hydrogen,AB Pic,S
AF Lep,F8 V,1.25,Hydrogen,AF Lep,S
AU Mic,M1,0.74,Hydrogen,AU Mic,S
BD+03 2562,,32.35,Hydrogen,BD+03 2562,S
BD+14 4559,K2 V,0.86,Hydrogen,BD+14 4559,S
BD+15 2375,G5,8.95,Hydrogen,BD+15 2375,S
BD+15 2940,K0,14.7,Hydrogen,BD+15 2940,S
BD+20 2457,K2 II,49,Hydrogen,BD+20 2457,S
BD+20 274,K5 III,17.3,Hydrogen,BD+20 274,S
BD+20 594,G,1.08,Hydrogen,BD+20 594,S
BD+45 564,K1,0.81,Hydrogen,BD+45 564,S
BD+48 738,K0 III,11,Hydrogen,BD+48 738,S
BD+48 740,K3 III,10.33,Hydrogen,BD+48 740,S
BD+49 828,K0,7.6,Hydrogen,BD+49 828,S
BD+55 362,K3,0.9,Hydrogen,BD+55 362,S
BD+60 1417,K0,0.8,Hydrogen,BD+60 1417,S
BD+63 1405,K0,0.8,Hydrogen,BD+63 1405,S
BD-06 1339,K7/M0 V,0.69,Hydrogen,BD-06 1339,S
BD-08 2823,K3 V,0.71,Hydrogen,BD-08 2823,S
BD-10 3166,K0 V,0.91,Hydrogen,BD-10 3166,S
BD-11 4672,K7 V,0.64,Hydrogen,BD-11 4672,S
BD-13 2130,G5 IV/V,19.17,Hydrogen,BD-13 2130,S
BD-14 3065,,2.35,Hydrogen,BD-14 3065 A,S
BD-17 63,K5 V,0.74,Hydrogen,BD-17 63,S
BD-210397,K7 V,0.75,Hydrogen,BD-210397,S
Barnard's star,M3.5-4 V,0.18,Hydrogen,Barnard's star,S
CD Cet,M5.0 V,0.17,Hydrogen,CD Cet,S
CFBDSIR J145829+101343,,,Hydrogen,CFBDSIR J145829+101343,S
CFHTWIR-Oph 98,M9-L1,0.24,Hydrogen,CFHTWIR-Oph 98 A,S
CHXR 73,M3.5,,Hydrogen,CHXR 73,S
CI Tau,K7,1.88,Hydrogen,CI Tau,S
COCONUTS-2,M3 V,0.39,Hydrogen,COCONUTS-2 A,S
CT Cha,K5e,1.68,Hydrogen,CT Cha,S
CoRoT-1,G0 V,1.11,Hydrogen,CoRoT-1,S
CoRoT-10,K1 V,0.79,Hydrogen,CoRoT-10,S
CoRoT-11,F6 V,1.37,Hydrogen,CoRoT-11,S
CoRoT-12,,1.05,Hydrogen,CoRoT-12,S
CoRoT-13,G0 V,1.01,Hydrogen,CoRoT-13,S
CoRoT-14,F9 V,1.21,Hydrogen,CoRoT-14,S
CoRoT-16,G5 V,1.19,Hydrogen,CoRoT-16,S
CoRoT-17,G2 V,1.59,Hydrogen,CoRoT-17,S
CoRoT-18,G9 V,0.88,Hydrogen,CoRoT-18,S
CoRoT-19,F9 V,1.65,Hydrogen,CoRoT-19,S
CoRoT-2,,0.91,Hydrogen,CoRoT-2,S
CoRoT-20,G2 V,1.37,Hydrogen,CoRoT-20,S
CoRoT-21,F8 IV,1.95,Hydrogen,CoRoT-21,S
CoRoT-22,G3 V,1.14,Hydrogen,CoRoT-22,S
CoRoT-23,G0 V,1.61,Hydrogen,CoRoT-23,S
CoRoT-24,K1 V,0.86,Hydrogen,CoRoT-24,S
CoRoT-25,F9,1.19,Hydrogen,CoRoT-25,S
CoRoT-26,G5,1.79,Hydrogen,CoRoT-26,S
CoRoT-27,G2,1.08,Hydrogen,CoRoT-27,S
CoRoT-28,G8/9 IV,1.78,Hydrogen,CoRoT-28,S
CoRoT-29,K0 V,0.9,Hydrogen,CoRoT-29,S
CoRoT-3,F3 V,1.56,Hydrogen,CoRoT-3,S
CoRoT-30,G3 V,0.91,Hydrogen,CoRoT-30,S
CoRoT-31,G2 IV,2.15,Hydrogen,CoRoT-31,S
CoRoT-35,F6 V,1.65,Hydrogen,CoRoT-35,S
CoRoT-36,F3 V,1.52,Hydrogen,CoRoT-36,S
CoRoT-4,,1.17,Hydrogen,CoRoT-4,S
CoRoT-5,F9 V,1.11,Hydrogen,CoRoT-5,S
CoRoT-6,F9 V,1.03,Hydrogen,CoRoT-6,S
