Planet Name,Biome,Phylum
11 Com b,Desert,Angiospermae
11 UMi b,Alpine,Echinodermata
14 And b,Tundra,Pteridophyta
14 Her b,Boreal,Nematoda
16 Cyg B b,Temperate,Chordata
17 Sco b,Boreal,Bryophyta
18 Del b,Swamp,Bryophyta
1RXS J160929.1-210524 b,Alpine,Cnidaria
24 Boo b,Boreal,Annelida
24 Sex b,Desert,Cnidaria
24 Sex c,Tundra,Porifera
2M0437 b,Tundra,Arthropoda
2MASS J01033563-5515561 AB b,Tropical,Pteridophyta
2MASS J01225093-2439505 b,Desert,Echinodermata
2MASS J02192210-3925225 b,Desert,Porifera
2MASS J0249-0557 c,Marshland,Angiospermae
2MASS J03590986+2009361 b,Swamp,Platyhelminthes
2MASS J04414489+2301513 b,Boreal,Arthropoda
2MASS J11011926-7732383 b,Boreal,Pteridophyta
2MASS J11550485-7919108 b,Swamp,Platyhelminthes
2MASS J12073346-3932539 b,Alpine,Cnidaria
2MASS J19383260+4603591 b,Boreal,Mollusca
2MASS J21252752-8138278 b,Swamp,Pteridophyta
2MASS J22362452+4751425 b,Swamp,Chordata
30 Ari B b,Scarlet,Chordata
4 UMa b,Tropical,Chordata
42 Dra b,Scarlet,Chordata
47 UMa b,Tundra,Bryophyta
47 UMa c,Nemoral,Porifera
47 UMa d,Tundra,Bryophyta
51 Eri b,Swamp,Annelida
51 Peg b,Boreal,Chordata
55 Cnc b,Scarlet,Platyhelminthes
55 Cnc c,Nemoral,Platyhelminthes
55 Cnc d,Boreal,Mollusca
55 Cnc e,Desert,Arthropoda
55 Cnc f,Tropical,Arthropoda
6 Lyn b,Tundra,Platyhelminthes
61 Vir b,Swamp,Chordata
61 Vir c,Tropical,Pteridophyta
61 Vir d,Desert,Pteridophyta
7 CMa b,Scarlet,Mollusca
7 CMa c,Tropical,Chordata
70 Vir b,Tundra,Annelida
75 Cet b,Boreal,Arthropoda
75 Cet c,Desert,Pteridophyta
8 UMi b,Tropical,Annelida
81 Cet b,Tropical,Pteridophyta
91 Aqr b,Scarlet,Angiospermae
AB Aur b,Boreal,Cnidaria
AB Pic b,Tundra,Platyhelminthes
AF Lep b,Tropical,Pteridophyta
AU Mic b,Marshland,Nematoda
AU Mic c,Swamp,Porifera
AU Mic d,Swamp,Pteridophyta
BD+03 2562 b,Alpine,Bryophyta
BD+14 4559 b,Desert,Bryophyta
BD+15 2375 b,Scarlet,Annelida
BD+15 2940 b,Boreal,Bryophyta
BD+20 2457 b,Boreal,Annelida
BD+20 2457 c,Swamp,Annelida
BD+20 274 b,Desert,Arthropoda
BD+20 594 b,Desert,Angiospermae
BD+45 564 b,Marshland,Pteridophyta
BD+48 738 b,Tundra,Nematoda
BD+48 740 b,Scarlet,Bryophyta
BD+49 828 b,Desert,Platyhelminthes
BD+55 362 b,Scarlet,Bryophyta
BD+60 1417 b,Scarlet,Pteridophyta
BD+63 1405 b,Swamp,Nematoda
BD-06 1339 b,Tropical,Nematoda
BD-06 1339 c,Alpine,Pteridophyta
BD-08 2823 b,Desert,Pteridophyta
BD-08 2823 c,Temperate,Angiospermae
BD-10 3166 b,Scarlet,Mollusca
BD-11 4672 b,Scarlet,Cnidaria
BD-11 4672 c,Tundra,Annelida
BD-13 2130 b,Tundra,Porifera
BD-14 3065 b,Swamp,Bryophyta
BD-17 63 b,Alpine,Annelida
BD-210397 b,Tropical,Mollusca
BD-210397 c,Temperate,Pteridophyta
Barnard b,Alpine,Pteridophyta
CD Cet b,Nemoral,Mollusca
CFBDSIR J145829+101343 b,Alpine,Porifera
CFHTWIR-Oph 98 b,Alpine,Annelida
CHXR 73 b,Temperate,Porifera
CI Tau c,Tundra,Chordata
COCONUTS-2 b,Tropical,Arthropoda
CT Cha b,Scarlet,Porifera
CoRoT-1 b,Desert,Annelida
CoRoT-10 b,Marshland,Platyhelminthes
CoRoT-11 b,Temperate,Pteridophyta
CoRoT-12 b,Alpine,Platyhelminthes
CoRoT-13 b,Tundra,Cnidaria
CoRoT-14 b,Temperate,Cnidaria
CoRoT-16 b,Scarlet,Arthropoda
CoRoT-17 b,Boreal,Platyhelminthes
CoRoT-18 b,Swamp,Porifera
CoRoT-19 b,Tropical,Platyhelminthes
CoRoT-2 b,Tundra,Annelida
CoRoT-20 b,Marshland,Bryophyta
