Planet Name,Star Name,Orbital Period [days],
11 Com b,11 Com,323.21,
11 UMi b,11 UMi,516.21997,
14 And b,14 And,186.76,
14 Her b,14 Her,1765.0389,
16 Cyg B b,16 Cyg,798.5,
17 Sco b,17 Sco,578.38,
18 Del b,18 Del,982.85,
1RXS J160929.1-210524 b,1RXS J160929.1-210524,,
24 Boo b,24 Boo,30.33,
24 Sex b,24 Sex,452.8,
24 Sex c,24 Sex,883,
2M0437 b,2MASS J04372171+2651014,,
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561,,
2MASS J01225093-2439505 b,2MASS J01225093-2439505,,
2MASS J02192210-3925225 b,2MASS J02192210-3925225,,
2MASS J0249-0557 c,2MASS J0249-0557,,
2MASS J03590986+2009361 b,2MASS J03590986+2009361,,
2MASS J04414489+2301513 b,2MASS J04414489+2301513,,
2MASS J11011926-7732383 b,2MASS J11011926-7732383,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,,
2MASS J12073346-3932539 b,2MASS J12073346-3932539,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,406,
2MASS J21252752-8138278 b,2MASS J21252752-8138278,,
2MASS J22362452+4751425 b,2MASS J22362452+4751425,,
30 Ari B b,30 Ari,335.10001,
4 UMa b,4 UMa,270.27,
42 Dra b,42 Dra,479.1,
47 UMa b,47 UMa,1078,
47 UMa c,47 UMa,2391,
47 UMa d,47 UMa,14002,
51 Eri b,51 Eri,11688,
51 Peg b,51 Peg,4.230785,
55 Cnc b,55 Cnc,14.6516,
55 Cnc c,55 Cnc,44.3989,
55 Cnc d,55 Cnc,5574.2,
55 Cnc e,55 Cnc,0.7365474,
55 Cnc f,55 Cnc,259.88,
6 Lyn b,6 Lyn,919.86,
61 Vir b,61 Vir,4.215,
61 Vir c,61 Vir,38.021,
61 Vir d,61 Vir,123.01,
7 CMa b,7 CMa,735.1,
7 CMa c,7 CMa,996,
70 Vir b,70 Vir,116.688,
75 Cet b,75 Cet,696.62,
75 Cet c,75 Cet,2051.62,
8 UMi b,8 UMi,93.4,
81 Cet b,81 Cet,1005.57,
91 Aqr b,91 Aqr,181.4,
AB Aur b,AB Aur,,
AB Pic b,AB Pic,,
AF Lep b,AF Lep,8030,
AU Mic b,AU Mic,8.46308,
AU Mic c,AU Mic,18.85969,
AU Mic d,AU Mic,12.73596,
BD+03 2562 b,BD+03 2562,481.9,
BD+14 4559 b,BD+14 4559,268.94,
BD+15 2375 b,BD+15 2375,153.22,
BD+15 2940 b,BD+15 2940,137.48,
BD+20 2457 b,BD+20 2457,379.63,
BD+20 2457 c,BD+20 2457,621.99,
BD+20 274 b,BD+20 274,578.2,
BD+20 594 b,BD+20 594,41.6855,
BD+45 564 b,BD+45 564,307.88,
BD+48 738 b,BD+48 738,392.6,
BD+48 740 b,BD+48 740,733,
BD+49 828 b,BD+49 828,2590,
BD+55 362 b,BD+55 362,265.59,
BD+60 1417 b,BD+60 1417,,
BD+63 1405 b,BD+63 1405,1198.48,
BD-06 1339 b,BD-06 1339,3.8728,
BD-06 1339 c,BD-06 1339,125.94,
BD-08 2823 b,BD-08 2823,5.6,
BD-08 2823 c,BD-08 2823,237.6,
BD-10 3166 b,BD-10 3166,3.48777,
BD-11 4672 b,BD-11 4672,1634,
BD-11 4672 c,BD-11 4672,74.2,
BD-13 2130 b,BD-13 2130,714.29999,
BD-14 3065 b,BD-14 3065,4.2889731,
BD-17 63 b,BD-17 63,655.57,
BD-210397 b,BD-210397,1891,
BD-210397 c,BD-210397,6240,
Barnard b,Barnard's star,3.1533,
CD Cet b,CD Cet,2.2907,
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,10037.5,
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98,8040000,
CHXR 73 b,CHXR 73,,
CI Tau c,CI Tau,25.2,
COCONUTS-2 b,COCONUTS-2,402000000,
CT Cha b,CT Cha,,
CoRoT-1 b,CoRoT-1,1.5089557,
CoRoT-10 b,CoRoT-10,13.2406,
CoRoT-11 b,CoRoT-11,2.99433,
CoRoT-12 b,CoRoT-12,2.828042,
CoRoT-13 b,CoRoT-13,4.03519,
CoRoT-14 b,CoRoT-14,1.51214,
CoRoT-16 b,CoRoT-16,5.35227,
CoRoT-17 b,CoRoT-17,3.7681,
CoRoT-18 b,CoRoT-18,1.9000693,
CoRoT-19 b,CoRoT-19,3.89713,
CoRoT-2 b,CoRoT-2,1.7429935,
CoRoT-20 b,CoRoT-20,9.24285,
CoRoT-20 c,CoRoT-20,1675,
CoRoT-21 b,CoRoT-21,2.72474,
CoRoT-22 b,CoRoT-22,9.75598,
CoRoT-23 b,CoRoT-23,3.6313,
CoRoT-24 b,CoRoT-24,5.1134,
CoRoT-24 c,CoRoT-24,11.759,
CoRoT-25 b,CoRoT-25,4.86069,
CoRoT-26 b,CoRoT-26,4.20474,
CoRoT-27 b,CoRoT-27,3.57532,
CoRoT-28 b,CoRoT-28,5.20851,
CoRoT-29 b,CoRoT-29,2.85057,
CoRoT-3 b,CoRoT-3,4.2568,
CoRoT-30 b,CoRoT-30,9.06005,
CoRoT-31 b,CoRoT-31,4.62941,
CoRoT-35 b,CoRoT-35,3.22748,
CoRoT-36 b,CoRoT-36,5.616531,
CoRoT-4 b,CoRoT-4,9.20205,
CoRoT-5 b,CoRoT-5,4.0378962,
CoRoT-6 b,CoRoT-6,8.886593,
CoRoT-7 b,CoRoT-7,0.85359163,
CoRoT-7 c,CoRoT-7,3.698,
CoRoT-7 d,CoRoT-7,8.966,
CoRoT-8 b,CoRoT-8,6.21229,
CoRoT-9 b,CoRoT-9,95.272656,
CoRoTID 223977153 b,CoRoTID 223977153,6.71837,
DE CVn b,DE CVn,4098.1,
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,246.36,
DH Tau b,DH Tau,,
DMPP-1 b,DMPP-1,18.57,
DMPP-1 c,DMPP-1,6.584,
DMPP-1 d,DMPP-1,2.882,
DMPP-1 e,DMPP-1,5.516,
DMPP-2 b,DMPP-2,5.2072,
DMPP-3 A b,DMPP-3,6.6732,
DMPP-4 b,DMPP-4,3.4982,
DP Leo b,DP Leo,10220,
DS Tuc A b,DS Tuc,8.138268,
EPIC 201170410.02,EPIC 201170410,6.7987,
EPIC 201238110 b,EPIC 201238110,28.1656,
EPIC 201427007 b,EPIC 201427007,0.72091,
EPIC 201497682 b,EPIC 201497682,2.13174,
EPIC 201595106 b,EPIC 201595106,0.87724,
EPIC 201615463 c,K2-166,3.80464,
EPIC 201754305 d,K2-16,2.71578,
EPIC 201757695.02,EPIC 201757695,2.0478,
EPIC 201833600 c,K2-50,3.96151,
EPIC 201841433 b,EPIC 201841433,4.1698,
EPIC 205950854 c,K2-168,8.050722,
EPIC 206024342 b,EPIC 206024342,4.50756,
EPIC 206024342 c,EPIC 206024342,0.911724,
EPIC 206024342 d,EPIC 206024342,14.647531,
EPIC 206032309 b,EPIC 206032309,2.87814,
EPIC 206042996 b,EPIC 206042996,5.2986,
EPIC 206042996 c,EPIC 206042996,0.354884,
EPIC 206215704 b,EPIC 206215704,2.255436,
EPIC 206317286 b,EPIC 206317286,1.58252,
